bench name,total times (s),vc gen times (s),dec proc times (s),symb exec times (s),postprocess eq (s),SSA times (s),solver times (s),iterations,result (success/fail)
aws_add_size_checked,3.629,0.004,0.050,0.002,0.000,0.002,0.048,1,success
aws_add_size_saturating,3.651,0.003,0.084,0.001,0.000,0.002,0.082,1,success
aws_array_eq,5.696,0.037,0.261,0.020,0.000,0.017,0.244,1,success
aws_array_eq_c_str,5.717,0.037,0.122,0.024,0.000,0.013,0.109,1,success
aws_array_eq_c_str_ignore_case,5.700,0.077,0.363,0.030,0.000,0.047,0.316,1,success
aws_array_eq_ignore_case,5.694,0.066,0.362,0.020,0.000,0.046,0.316,1,success
aws_array_list_back,11.866,0.299,7.965,0.043,0.000,0.256,7.708,1,success
aws_array_list_capacity,7.741,0.130,3.922,0.019,0.000,0.111,3.811,1,success
aws_array_list_clean_up,3.634,0.062,0.130,0.013,0.000,0.049,0.081,1,success
aws_array_list_clear,5.693,0.122,0.314,0.014,0.000,0.108,0.206,1,success
aws_array_list_comparator_string,5.703,0.074,0.904,0.041,0.000,0.033,0.871,1,success
aws_array_list_copy,11.872,0.441,6.321,0.067,0.000,0.374,5.946,1,success
aws_array_list_ensure_capacity,7.783,0.365,3.634,0.057,0.000,0.308,3.325,1,success
aws_array_list_erase,168.373,1.059,163.855,0.116,0.000,0.943,162.911,1,success
aws_array_list_front,7.752,0.230,2.491,0.037,0.000,0.193,2.297,1,success
aws_array_list_get_at,7.759,0.264,4.017,0.039,0.000,0.225,3.792,1,success
aws_array_list_get_at_ptr,9.795,0.251,4.516,0.029,0.000,0.222,4.294,1,success
aws_array_list_init_dynamic,3.597,0.063,0.158,0.014,0.000,0.049,0.109,1,success
aws_array_list_init_static,5.695,0.082,0.814,0.011,0.000,0.071,0.743,1,success
aws_array_list_length,5.689,0.110,0.742,0.017,0.000,0.093,0.649,1,success
aws_array_list_pop_back,11.871,0.267,7.986,0.034,0.000,0.233,7.753,1,success
aws_array_list_pop_front,13.905,0.449,9.885,0.053,0.000,0.396,9.488,1,success
aws_array_list_pop_front_n,20.095,0.341,16.367,0.039,0.000,0.302,16.065,1,success
aws_array_list_push_back,15.991,0.740,11.909,0.106,0.000,0.634,11.274,1,success
aws_array_list_push_front,20.115,0.566,14.824,0.092,0.000,0.474,14.350,1,success
aws_array_list_set_at,18.013,0.595,14.336,0.089,0.000,0.506,13.830,1,success
aws_array_list_shrink_to_fit,20.120,0.543,16.084,0.067,0.000,0.476,15.607,1,success
aws_array_list_sort,20.090,0.285,16.053,0.046,0.000,0.239,15.813,1,success
aws_array_list_swap,38.674,0.610,34.327,0.077,0.000,0.533,33.794,1,success
aws_array_list_swap_contents,7.770,0.217,3.081,0.032,0.000,0.185,2.896,1,success
aws_byte_buf_advance,5.692,0.059,0.300,0.047,0.000,0.012,0.288,1,success
aws_byte_buf_append,5.727,0.056,0.430,0.035,0.000,0.021,0.408,1,success
aws_byte_buf_append_dynamic,55.173,0.096,49.566,0.058,0.000,0.038,49.528,1,success
aws_byte_buf_append_with_lookup,5.718,0.115,1.378,0.054,0.000,0.061,1.317,1,success
aws_byte_buf_cat,34.535,0.171,29.382,0.128,0.000,0.043,29.338,1,success
aws_byte_buf_clean_up,3.608,0.012,0.014,0.009,0.000,0.003,0.011,1,success
aws_byte_buf_clean_up_secure,5.673,0.065,1.144,0.045,0.000,0.020,1.123,1,success
