bench name,total times (s),vc gen times (s),dec proc times (s),symb exec times (s),postprocess eq (s),SSA times (s),solver times (s),iterations,result (success/fail)
aws_byte_buf_advance,5.690,0.055,0.137,0.043,0.000,0.012,0.137,2,fail
aws_byte_buf_append,6.014,0.057,0.016,0.035,0.000,0.022,0.016,22,fail
aws_byte_buf_append_dynamic,5.716,0.096,1.100,0.058,0.000,0.038,1.100,2,fail
aws_byte_buf_append_with_lookup,5.954,0.113,0.036,0.053,0.000,0.060,0.035,14,fail
aws_byte_buf_cat,22.272,0.169,11.544,0.126,0.000,0.043,11.543,6,fail
aws_byte_buf_init_copy,5.723,0.067,0.017,0.048,0.000,0.019,0.017,2,fail
aws_byte_buf_write,9.826,0.041,3.224,0.028,0.000,0.013,3.224,2,fail
aws_byte_buf_write_be16,5.721,0.032,0.025,0.022,0.000,0.010,0.025,2,fail
aws_byte_buf_write_be32,5.769,0.037,0.017,0.026,0.000,0.011,0.017,4,fail
aws_byte_buf_write_be64,5.909,0.040,0.004,0.027,0.000,0.013,0.004,8,fail
aws_byte_buf_write_from_whole_buffer,6.058,0.070,0.236,0.044,0.000,0.026,0.236,9,fail
aws_byte_buf_write_from_whole_cursor,5.725,0.054,0.065,0.037,0.000,0.017,0.065,2,fail
aws_byte_buf_write_from_whole_string,9.831,0.070,0.037,0.044,0.000,0.026,0.037,2,fail
aws_byte_buf_write_u8,5.710,0.030,0.021,0.021,0.000,0.009,0.021,2,fail
aws_byte_cursor_read_and_fill_buffer,5.693,0.059,1.681,0.040,0.000,0.019,1.680,3,fail
