Name,Timing,Result
klee_add_size_checked_test,0.707456,passed
klee_add_size_saturating_test,0.784558,passed
klee_mul_size_checked_test,0.834221,passed
klee_mul_size_saturating_test,1.66431,passed
klee_is_power_of_two_test,0.700291,passed
klee_array_eq_test,34.2251,passed
klee_array_eq_c_str_test,36.6694,passed
klee_array_eq_c_str_ignore_case_test,22.8757,passed
klee_array_eq_ignore_case_test,32.8554,passed
klee_array_list_back_test,87.1372,passed
klee_array_list_capacity_test,13.073,passed
klee_array_list_clean_up_test,12.945,passed
klee_array_list_clear_test,13.3193,passed
klee_array_list_comparator_string_test,118.385,passed
klee_array_list_copy_test,153.816,passed
klee_array_list_ensure_capacity_test,120.513,passed
klee_array_list_erase_test,14.6537,passed
klee_array_list_front_test,88.2438,passed
klee_array_list_get_at_test,87.1602,passed
klee_array_list_get_at_ptr_test,13.3114,passed
klee_array_list_init_dynamic_test,59.984,passed
klee_array_list_init_static_test,59.0423,passed
klee_array_list_length_test,13.1465,passed
klee_array_list_pop_back_test,13.5006,passed
klee_array_list_pop_front_test,13.6703,passed
klee_array_list_pop_front_n_test,14.2136,passed
klee_array_list_push_back_test,68.5525,passed
klee_array_list_set_at_test,159.772,passed
klee_array_list_shrink_to_fit_test,39.1699,passed
klee_array_list_sort_test,13.8615,passed
klee_array_list_swap_test,13.957,passed
klee_array_list_swap_contents_test,49.1497,passed
klee_byte_buf_advance_test,56.9377,passed
klee_byte_buf_append_test,16.6528,passed
klee_byte_buf_append_dynamic_test,612.199,passed
klee_byte_buf_append_with_lookup_test,17.7846,passed
klee_byte_buf_clean_up_test,13.4314,passed
klee_byte_buf_clean_up_secure_test,13.362,passed
klee_byte_buf_eq_test,92.0397,passed
klee_byte_buf_eq_c_str_test,75.8798,passed
klee_byte_buf_eq_c_str_ignore_case_test,97.1044,passed
klee_byte_buf_from_array_test,13.4673,passed
klee_byte_buf_from_c_str_test,13.7905,passed
klee_byte_buf_from_empty_array_test,13.2175,passed
klee_byte_buf_init_test,51.3073,passed
klee_byte_buf_init_copy_test,18.2076,passed
klee_byte_buf_init_copy_from_cursor_test,56.0972,passed
klee_byte_buf_reserve_test,13.6451,passed
klee_byte_buf_reserve_relative_test,202.151,passed
klee_byte_buf_reset_test,13.6226,passed
klee_byte_buf_secure_zero_test,13.9507,passed
klee_byte_buf_write_test,23.4958,passed
klee_byte_buf_write_be16_test,14.1031,passed
klee_byte_buf_write_be32_test,14.2471,passed
klee_byte_buf_write_be64_test,13.7243,passed
klee_byte_buf_write_from_whole_buffer_test,115.952,passed
klee_byte_buf_write_from_whole_cursor_test,23.916,passed
klee_byte_buf_write_from_whole_string_test,195.192,passed
klee_byte_buf_write_u8_test,13.9074,passed
klee_byte_cursor_advance_test,0.813859,passed
klee_byte_cursor_compare_lexical_test,3.2982,passed
klee_byte_cursor_compare_lookup_test,4.39287,passed
klee_byte_cursor_eq_test,1.57894,passed
klee_byte_cursor_eq_byte_buf_test,34.7973,passed
klee_byte_cursor_eq_byte_buf_ignore_case_test,31.4161,passed
klee_byte_cursor_eq_c_str_test,34.031,passed
klee_byte_cursor_eq_c_str_ignore_case_test,38.0528,passed
klee_byte_cursor_eq_ignore_case_test,1.14859,passed
klee_byte_cursor_from_array_test,13.3185,passed
klee_byte_cursor_from_buf_test,13.8086,passed
klee_byte_cursor_from_c_str_test,12.9376,passed
klee_byte_cursor_from_string_test,12.9417,passed
klee_linked_list_back_test,0.684665,passed
klee_linked_list_begin_test,0.681052,passed
klee_linked_list_end_test,0.657178,passed
klee_linked_list_front_test,0.677009,passed
klee_linked_list_init_test,0.596854,passed
klee_linked_list_remove_test,0.598099,passed
klee_linked_list_pop_back_test,0.688704,passed
klee_linked_list_pop_front_test,0.689553,passed
klee_linked_list_prev_test,0.599754,passed
klee_linked_list_next_test,0.602505,passed
klee_linked_list_node_reset_test,0.647204,passed
klee_linked_list_push_back_test,0.674893,passed
klee_linked_list_push_front_test,0.685106,passed
klee_linked_list_swap_contents_test,0.804518,passed
klee_linked_list_insert_after_test,0.597667,passed
klee_linked_list_insert_before_test,0.59887,passed
klee_linked_list_rbegin_test,0.684666,passed
klee_linked_list_rend_test,0.683923,passed
klee_priority_queue_size_test,48.3497,passed
klee_priority_queue_capacity_test,48.0615,passed
klee_priority_queue_top_test,48.3689,passed
klee_priority_queue_init_static_test,16.7429,passed
klee_priority_queue_init_dynamic_test,16.7815,passed
klee_priority_queue_clean_up_test,48.1854,passed
klee_priority_queue_s_swap_test,48.1713,passed
klee_priority_queue_s_sift_up_test,48.1296,passed
klee_priority_queue_s_sift_down_test,47.4708,passed
klee_priority_queue_s_sift_either_test,46.3736,passed
klee_priority_queue_s_remove_node_test,46.837,passed
klee_priority_queue_remove_test,46.7269,passed
klee_priority_queue_pop_test,47.6043,passed
klee_priority_queue_push_test,47.7619,passed
klee_priority_queue_push_ref_test,46.3766,passed
