Name,Timing,Result
add_size_checked_unsat_test,0.334722,passed
add_size_saturating_unsat_test,0.330761,passed
mul_size_checked_unsat_test,0.467043,passed
mul_size_saturating_unsat_test,0.596265,passed
is_power_of_two_unsat_test,0.260715,passed
round_up_to_power_of_two_unsat_test,0.401315,passed
nospec_mask_unsat_test,0.325531,passed
ptr_eq_unsat_test,0.299821,passed
array_eq_c_str_unsat_test,126.278,passed
array_eq_c_str_ignore_case_unsat_test,0.397973,passed
array_eq_ignore_case_unsat_test,0.590978,passed
array_list_back_unsat_test,0.585806,passed
array_list_capacity_unsat_test,0.655977,passed
array_list_clean_up_unsat_test,0.3179,passed
array_list_clear_unsat_test,1.10836,passed
array_list_comparator_string_unsat_test,5.94312,passed
array_list_copy_unsat_test,1.99865,passed
array_list_ensure_capacity_unsat_test,1.957,passed
array_list_erase_unsat_test,0.837757,passed
array_list_front_unsat_test,0.566885,passed
array_list_get_at_unsat_test,0.575008,passed
array_list_get_at_ptr_unsat_test,0.582785,passed
array_list_init_dynamic_unsat_test,1.12115,passed
array_list_init_static_unsat_test,1.13883,passed
array_list_length_unsat_test,0.587793,passed
array_list_pop_back_unsat_test,1.08254,passed
array_list_pop_front_unsat_test,0.617494,passed
array_list_pop_front_n_unsat_test,1.29096,passed
array_list_push_back_unsat_test,15.6366,passed
array_list_set_at_unsat_test,4.40706,passed
array_list_shrink_to_fit_unsat_test,1.02744,passed
array_list_sort_unsat_test,0.569489,passed
array_list_swap_unsat_test,89.8322,passed
array_list_swap_contents_unsat_test,1.35728,passed
byte_buf_advance_unsat_test,0.480452,passed
byte_buf_append_unsat_test,0.391682,passed
byte_buf_append_dynamic_unsat_test,0.454187,passed
byte_buf_append_with_lookup_unsat_test,4.41093,passed
byte_buf_cat_unsat_test,0.618755,passed
byte_buf_clean_up_unsat_test,0.340228,passed
byte_buf_clean_up_secure_unsat_test,0.33895,passed
byte_buf_eq_unsat_test,1.57801,passed
byte_buf_eq_c_str_unsat_test,0.411395,passed
byte_buf_eq_c_str_ignore_case_unsat_test,0.387294,passed
byte_buf_eq_ignore_case_unsat_test,0.607233,passed
byte_buf_from_array_unsat_test,0.369177,passed
byte_buf_from_c_str_unsat_test,74.0044,passed
byte_buf_from_empty_array_unsat_test,0.392868,passed
byte_buf_init_unsat_test,0.349811,passed
byte_buf_init_copy_unsat_test,163.633,passed
byte_buf_init_copy_from_cursor_unsat_test,19.4277,passed
byte_buf_reserve_unsat_test,0.368179,passed
byte_buf_reserve_relative_unsat_test,0.372039,passed
byte_buf_reset_unsat_test,0.340899,passed
byte_buf_secure_zero_unsat_test,0.369509,passed
byte_buf_write_unsat_test,3.60578,passed
byte_buf_write_be16_unsat_test,0.404036,passed
byte_buf_write_be32_unsat_test,0.384801,passed
byte_buf_write_be64_unsat_test,0.374585,passed
byte_buf_write_from_whole_buffer_unsat_test,2.69263,passed
byte_buf_write_from_whole_cursor_unsat_test,3.58666,passed
byte_buf_write_from_whole_string_unsat_test,Timeout,failed
byte_buf_write_u8_unsat_test,0.396565,passed
byte_cursor_advance_unsat_test,0.38966,passed
byte_cursor_advance_nospec_unsat_test,0.454043,passed
byte_cursor_compare_lexical_unsat_test,0.871189,passed
byte_cursor_compare_lookup_unsat_test,2.57671,passed
byte_cursor_eq_unsat_test,0.888589,passed
byte_cursor_eq_byte_buf_unsat_test,0.723156,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,0.51457,passed
byte_cursor_eq_c_str_unsat_test,0.38369,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,0.370344,passed
byte_cursor_eq_ignore_case_unsat_test,0.599708,passed
byte_cursor_from_array_unsat_test,0.332206,passed
byte_cursor_from_buf_unsat_test,0.375722,passed
byte_cursor_from_c_str_unsat_test,54.5643,passed
byte_cursor_from_string_unsat_test,0.403899,passed
byte_cursor_left_trim_pred_unsat_test,0.381546,passed
byte_cursor_read_unsat_test,2.04385,passed
byte_cursor_read_and_fill_buffer_unsat_test,2.62138,passed
byte_cursor_read_be16_unsat_test,0.404128,passed
byte_cursor_read_be32_unsat_test,0.405513,passed
