Name,Timing,Result
add_size_checked_unsat_test,0.413013,passed
add_size_saturating_unsat_test,0.447182,passed
mul_size_checked_unsat_test,0.912055,passed
mul_size_saturating_unsat_test,0.716658,passed
is_power_of_two_unsat_test,0.284176,passed
round_up_to_power_of_two_unsat_test,0.800178,passed
nospec_mask_unsat_test,0.368623,passed
ptr_eq_unsat_test,0.331906,passed
array_eq_c_str_unsat_test,3.644,passed
array_eq_c_str_ignore_case_unsat_test,0.444029,passed
array_eq_ignore_case_unsat_test,3.78867,passed
array_list_back_unsat_test,3.8723,passed
array_list_capacity_unsat_test,1.92617,passed
array_list_clean_up_unsat_test,0.500324,passed
array_list_clear_unsat_test,3.45535,passed
array_list_comparator_string_unsat_test,10.2515,passed
array_list_copy_unsat_test,8.78853,passed
array_list_ensure_capacity_unsat_test,7.4988,passed
array_list_erase_unsat_test,4.29472,passed
array_list_front_unsat_test,4.09984,passed
array_list_get_at_unsat_test,1.96767,passed
array_list_get_at_ptr_unsat_test,1.9243,passed
array_list_init_dynamic_unsat_test,5.34509,passed
array_list_init_static_unsat_test,3.86848,passed
array_list_length_unsat_test,1.76367,passed
array_list_pop_back_unsat_test,2.86433,passed
array_list_pop_front_unsat_test,2.96257,passed
array_list_pop_front_n_unsat_test,8.92248,passed
array_list_push_back_unsat_test,5.44108,passed
array_list_set_at_unsat_test,38.0706,passed
array_list_shrink_to_fit_unsat_test,9.06092,passed
array_list_sort_unsat_test,1.87409,passed
array_list_swap_unsat_test,28.1526,passed
array_list_swap_contents_unsat_test,9.88689,passed
byte_buf_advance_unsat_test,1.10678,passed
byte_buf_append_unsat_test,0.68154,passed
byte_buf_append_dynamic_unsat_test,1.14497,passed
byte_buf_append_with_lookup_unsat_test,2.8207,passed
byte_buf_cat_unsat_test,0.603984,passed
byte_buf_clean_up_unsat_test,0.36324,passed
byte_buf_clean_up_secure_unsat_test,0.361189,passed
byte_buf_eq_unsat_test,14.1778,passed
byte_buf_eq_c_str_unsat_test,0.468584,passed
byte_buf_eq_c_str_ignore_case_unsat_test,0.440928,passed
byte_buf_eq_ignore_case_unsat_test,12.5893,passed
byte_buf_from_array_unsat_test,0.399721,passed
byte_buf_from_c_str_unsat_test,4.23293,passed
byte_buf_from_empty_array_unsat_test,0.391693,passed
byte_buf_init_unsat_test,0.382536,passed
byte_buf_init_copy_unsat_test,6.90151,passed
byte_buf_init_copy_from_cursor_unsat_test,0.595395,passed
byte_buf_reserve_unsat_test,0.371501,passed
byte_buf_reserve_relative_unsat_test,0.483778,passed
byte_buf_reset_unsat_test,0.359394,passed
byte_buf_secure_zero_unsat_test,0.500726,passed
byte_buf_write_unsat_test,1.08498,passed
byte_buf_write_be16_unsat_test,0.624615,passed
byte_buf_write_be32_unsat_test,0.603969,passed
byte_buf_write_be64_unsat_test,0.607907,passed
byte_buf_write_from_whole_buffer_unsat_test,2.33434,passed
byte_buf_write_from_whole_cursor_unsat_test,1.60815,passed
byte_buf_write_from_whole_string_unsat_test,9.34985,passed
byte_buf_write_u8_unsat_test,0.621925,passed
byte_cursor_advance_unsat_test,0.589048,passed
byte_cursor_advance_nospec_unsat_test,0.777694,passed
byte_cursor_compare_lexical_unsat_test,2.91694,passed
byte_cursor_compare_lookup_unsat_test,7.40874,passed
byte_cursor_eq_unsat_test,3.02855,passed
byte_cursor_eq_byte_buf_unsat_test,2.73113,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,8.50463,passed
byte_cursor_eq_c_str_unsat_test,0.448707,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,0.425077,passed
byte_cursor_eq_ignore_case_unsat_test,4.26284,passed
byte_cursor_from_array_unsat_test,0.375823,passed
byte_cursor_from_buf_unsat_test,0.573229,passed
byte_cursor_from_c_str_unsat_test,2.16212,passed
byte_cursor_from_string_unsat_test,0.498133,passed
byte_cursor_left_trim_pred_unsat_test,0.437773,passed
byte_cursor_read_unsat_test,1.23383,passed
byte_cursor_read_and_fill_buffer_unsat_test,1.83609,passed
byte_cursor_read_be16_unsat_test,0.936584,passed
byte_cursor_read_be32_unsat_test,2.39409,passed
byte_cursor_read_be64_unsat_test,4.92428,passed
byte_cursor_read_u8_unsat_test,0.593123,passed
byte_cursor_right_trim_pred_unsat_test,0.586588,passed
linked_list_back_unsat_test,2.99532,passed
linked_list_begin_unsat_test,3.04214,passed
linked_list_end_unsat_test,2.88337,passed
linked_list_front_unsat_test,3.27164,passed
linked_list_init_unsat_test,0.315508,passed
linked_list_remove_unsat_test,0.309553,passed
linked_list_pop_back_unsat_test,4.59008,passed
linked_list_pop_front_unsat_test,4.36454,passed
linked_list_prev_unsat_test,0.321078,passed
linked_list_next_unsat_test,0.297863,passed
linked_list_node_reset_unsat_test,0.352852,passed
linked_list_push_back_unsat_test,3.39045,passed
linked_list_push_front_unsat_test,4.68568,passed
linked_list_swap_contents_unsat_test,18.1823,passed
linked_list_insert_after_unsat_test,0.321876,passed
linked_list_insert_before_unsat_test,0.304201,passed
linked_list_rbegin_unsat_test,4.22834,passed
linked_list_rend_unsat_test,2.91305,passed
string_bytes_unsat_test,0.609972,passed
string_compare_unsat_test,10.7684,passed
string_eq_unsat_test,9.9264,passed
string_eq_byte_buf_unsat_test,7.91348,passed
string_eq_byte_buf_ignore_case_unsat_test,8.52922,passed
string_eq_byte_cursor_unsat_test,6.36041,passed
string_eq_byte_cursor_ignore_case_unsat_test,15.7216,passed
string_eq_c_str_unsat_test,7.36229,passed
string_eq_c_str_ignore_case_unsat_test,16.754,passed
string_eq_ignore_case_unsat_test,7.73814,passed
string_new_from_array_unsat_test,2.16377,passed
string_new_from_c_str_unsat_test,1.13346,passed
string_new_from_string_unsat_test,6.63173,passed
priority_queue_size_unsat_test,5.2007,passed
priority_queue_capacity_unsat_test,5.46992,passed
priority_queue_top_unsat_test,5.4431,passed
priority_queue_init_static_unsat_test,1.70624,passed
priority_queue_init_dynamic_unsat_test,2.87793,passed
priority_queue_clean_up_unsat_test,0.399705,passed
ring_buffer_clean_up_unsat_test,0.811037,passed
ring_buffer_init_unsat_test,0.510686,passed
