Name,Timing,Result
is_power_of_two_unsat_test,0.395121,passed
ptr_eq_unsat_test,0.463722,passed
add_size_checked_unsat_test,0.48277,passed
nospec_mask_unsat_test,0.485875,passed
add_size_saturating_unsat_test,0.491323,passed
array_eq_c_str_ignore_case_unsat_test,0.585411,passed
round_up_to_power_of_two_unsat_test,0.625151,passed
mul_size_checked_unsat_test,0.678323,passed
mul_size_saturating_unsat_test,0.690404,passed
array_list_clean_up_unsat_test,0.46599,passed
array_list_capacity_unsat_test,0.727411,passed
array_list_back_unsat_test,1.08647,passed
array_list_front_unsat_test,0.984787,passed
array_eq_c_str_unsat_test,1.8207,passed
array_list_get_at_unsat_test,0.871496,passed
array_list_get_at_ptr_unsat_test,0.73694,passed
array_list_clear_unsat_test,1.46424,passed
array_eq_ignore_case_unsat_test,2.1141,passed
array_eq_unsat_test,2.18418,passed
array_list_ensure_capacity_unsat_test,1.55707,passed
array_list_init_dynamic_unsat_test,0.904027,passed
array_list_length_unsat_test,0.718411,passed
array_list_init_static_unsat_test,0.938347,passed
array_list_pop_back_unsat_test,1.27044,passed
array_list_sort_unsat_test,0.695262,passed
array_list_pop_front_unsat_test,1.68993,passed
array_list_copy_unsat_test,3.16868,passed
byte_buf_advance_unsat_test,0.586521,passed
byte_buf_append_unsat_test,0.562663,passed
array_list_pop_front_n_unsat_test,2.2575,passed
byte_buf_append_dynamic_unsat_test,0.703332,passed
byte_buf_append_with_lookup_unsat_test,0.840581,passed
array_list_swap_contents_unsat_test,1.57935,passed
byte_buf_clean_up_unsat_test,0.478388,passed
array_list_push_back_unsat_test,2.79929,passed
byte_buf_clean_up_secure_unsat_test,0.496836,passed
array_list_shrink_to_fit_unsat_test,2.72627,passed
array_list_push_front_unsat_test,2.93627,passed
array_list_erase_unsat_test,4.63677,passed
byte_buf_eq_c_str_unsat_test,0.658871,passed
byte_buf_eq_c_str_ignore_case_unsat_test,0.673461,passed
byte_buf_from_array_unsat_test,0.555931,passed
byte_buf_cat_unsat_test,1.4567,passed
byte_buf_from_empty_array_unsat_test,0.52259,passed
byte_buf_init_unsat_test,0.550394,passed
byte_buf_init_copy_from_cursor_unsat_test,0.628133,passed
byte_buf_reserve_unsat_test,0.495638,passed
byte_buf_reset_unsat_test,0.550808,passed
byte_buf_reserve_relative_unsat_test,0.584786,passed
byte_buf_secure_zero_unsat_test,0.567119,passed
byte_buf_write_be16_unsat_test,0.53023,passed
byte_buf_write_unsat_test,0.672919,passed
byte_buf_write_be32_unsat_test,0.543833,passed
byte_buf_write_be64_unsat_test,0.551309,passed
byte_buf_eq_unsat_test,2.21234,passed
byte_buf_from_c_str_unsat_test,1.84402,passed
array_list_comparator_string_unsat_test,6.51646,passed
byte_buf_eq_ignore_case_unsat_test,2.22858,passed
byte_buf_write_u8_unsat_test,0.535527,passed
byte_buf_write_from_whole_buffer_unsat_test,0.869079,passed
byte_buf_write_from_whole_cursor_unsat_test,0.78322,passed
byte_cursor_advance_unsat_test,0.708583,passed
byte_cursor_advance_nospec_unsat_test,0.907789,passed
byte_cursor_eq_c_str_unsat_test,0.608851,passed
byte_cursor_eq_c_str_ignore_case_unsat_test,0.614333,passed
byte_cursor_compare_lexical_unsat_test,1.29172,passed
byte_cursor_eq_byte_buf_unsat_test,1.06762,passed
byte_cursor_eq_unsat_test,1.23513,passed
byte_buf_init_copy_unsat_test,3.04997,passed
byte_cursor_from_array_unsat_test,0.482776,passed
byte_cursor_from_buf_unsat_test,0.541235,passed
byte_cursor_from_string_unsat_test,0.55176,passed
byte_cursor_left_trim_pred_unsat_test,0.552157,passed
byte_cursor_read_unsat_test,0.816891,passed
byte_cursor_read_be16_unsat_test,0.562922,passed
byte_cursor_eq_ignore_case_unsat_test,1.42331,passed
byte_cursor_compare_lookup_unsat_test,2.22528,passed
byte_cursor_eq_byte_buf_ignore_case_unsat_test,2.00367,passed
byte_cursor_read_and_fill_buffer_unsat_test,0.93643,passed
