Name,Timing,Result
smack_ptr_eq_test,2.07718,passed
smack_add_size_saturating_test,2.29744,passed
smack_mul_size_saturating_test,2.42684,passed
smack_is_power_of_two_test,2.56547,failed
smack_array_eq_c_str_test,2.80642,passed
smack_array_eq_c_str_ignore_case_test,2.99573,passed
smack_mul_size_checked_test,3.51158,passed
smack_round_up_to_power_of_two_test,3.52491,failed
smack_add_size_checked_test,3.66821,passed
smack_array_list_back_test,4.85122,passed
smack_array_list_clean_up_test,4.31723,passed
smack_array_list_clear_test,4.41994,passed
smack_array_list_capacity_test,4.79978,passed
smack_array_eq_test,7.10977,passed
smack_array_list_copy_test,5.14883,passed
smack_array_list_ensure_capacity_test,5.16524,passed
smack_array_list_front_test,5.06488,passed
smack_array_list_get_at_test,5.21685,passed
smack_array_list_erase_test,5.52844,passed
smack_array_list_get_at_ptr_test,4.95248,passed
smack_array_list_comparator_string_test,7.34946,passed
smack_array_list_init_dynamic_test,4.49,passed
smack_array_list_length_test,4.54945,passed
smack_array_list_init_static_test,5.48808,passed
smack_array_list_pop_front_test,5.08637,passed
smack_array_list_pop_front_n_test,4.9185,passed
smack_array_list_pop_back_test,6.48191,passed
smack_array_list_push_back_test,5.67887,passed
smack_array_list_sort_test,4.43821,passed
smack_array_list_push_front_test,5.56607,passed
smack_array_list_shrink_to_fit_test,5.09247,passed
smack_array_list_set_at_test,5.94885,passed
smack_array_list_swap_test,5.17611,passed
smack_array_list_swap_contents_test,5.9545,passed
smack_byte_buf_clean_up_secure_test,3.72053,passed
smack_byte_buf_clean_up_test,3.95672,passed
smack_byte_buf_eq_c_str_test,3.39025,passed
smack_byte_buf_eq_c_str_ignore_case_test,3.48483,passed
smack_byte_buf_from_empty_array_test,4.84264,passed
smack_byte_buf_from_array_test,5.28832,passed
smack_byte_buf_append_test,10.7175,passed
smack_byte_buf_from_c_str_test,5.88272,passed
smack_byte_buf_append_with_lookup_test,11.1373,passed
smack_byte_buf_init_test,5.25579,passed
smack_byte_buf_append_dynamic_test,15.0351,passed
smack_byte_buf_reserve_test,4.44946,passed
smack_byte_buf_secure_zero_test,5.68342,passed
smack_byte_buf_reset_test,6.45255,passed
smack_byte_buf_reserve_relative_test,8.52089,passed
smack_byte_buf_init_copy_from_cursor_test,9.71366,passed
smack_byte_buf_init_copy_test,13.1484,passed
smack_byte_buf_write_be16_test,9.39652,passed
smack_byte_buf_write_be32_test,7.06296,passed
smack_byte_buf_advance_test,25.721,passed
smack_byte_buf_write_test,10.3557,passed
smack_byte_buf_write_be64_test,10.23,passed
smack_byte_buf_write_u8_test,8.48205,passed
smack_byte_cursor_advance_test,9.16004,passed
smack_byte_cursor_compare_lookup_test,12.8928,passed
smack_byte_cursor_compare_lexical_test,13.6524,passed
smack_byte_cursor_eq_test,11.7896,passed
smack_byte_cursor_eq_c_str_test,3.1874,passed
smack_byte_cursor_eq_c_str_ignore_case_test,3.25997,passed
smack_byte_cursor_from_array_test,4.93629,passed
smack_byte_buf_write_from_whole_string_test,23.3579,passed
smack_byte_cursor_eq_byte_buf_test,17.4775,passed
smack_byte_buf_eq_test,50.2148,passed
smack_byte_cursor_from_c_str_test,5.72062,passed
smack_byte_cursor_left_trim_pred_test,6.6174,passed
smack_byte_cursor_from_buf_test,12.0177,passed
smack_byte_cursor_right_trim_pred_test,4.8645,passed
smack_byte_cursor_satisfies_pred_test,5.08711,passed
smack_hash_ptr_test,3.90589,passed
smack_hash_string_test,3.9442,passed
smack_hash_array_ignore_case_test,2.8092,passed
smack_byte_cursor_trim_pred_test,7.97031,passed
smack_hash_byte_cursor_ptr_ignore_case_test,4.81391,passed
smack_hash_c_string_test,4.14215,passed
smack_hash_callback_c_str_eq_test,3.02017,passed
smack_hash_callback_string_eq_test,5.54681,passed
smack_hash_callback_string_destroy_test,2.39298,passed
smack_hash_byte_cursor_ptr_test,8.09422,passed
smack_hash_iter_begin_done_test,8.03891,passed
smack_byte_buf_write_from_whole_cursor_test,57.5656,passed
smack_hash_table_get_entry_count_test,2.92083,passed
smack_hash_table_move_test,2.69146,passed
smack_byte_buf_write_from_whole_buffer_test,64.5696,passed
smack_hash_table_swap_test,3.1284,passed
smack_hash_table_clean_up_test,8.38621,passed
smack_hash_table_clear_test,18.5922,passed
smack_hash_iter_delete_test,42.5034,passed
smack_hash_iter_begin_test,60.1467,passed
smack_hash_table_foreach_test,27.2396,passed
smack_hash_table_find_test,38.7701,passed
smack_hash_iter_done_test,87.8669,passed
smack_hash_table_remove_test,30.6626,failed
smack_array_eq_ignore_case_test,200.001,failed
smack_byte_buf_cat_test,200.02,failed
smack_byte_buf_eq_ignore_case_test,200.002,failed
smack_hash_table_put_test,64.605,failed
smack_linked_list_init_test,4.15424,passed
smack_linked_list_remove_test,3.89443,passed
smack_byte_cursor_eq_byte_buf_ignore_case_test,200.016,failed
smack_hash_iter_next_test,172.831,passed
smack_byte_cursor_eq_ignore_case_test,200.006,failed
smack_linked_list_prev_test,4.39659,passed
smack_linked_list_node_reset_test,3.40818,passed
smack_linked_list_next_test,4.30622,passed
smack_linked_list_pop_front_test,28.9652,passed
smack_linked_list_pop_back_test,43.8009,passed
smack_linked_list_insert_after_test,3.66817,passed
smack_linked_list_insert_before_test,3.75439,passed
smack_hash_table_eq_test,200.004,failed
smack_hash_table_create_test,200.019,failed
smack_string_bytes_test,2.59307,passed
smack_string_compare_test,7.82159,passed
smack_string_eq_test,7.28413,passed
smack_string_eq_byte_buf_test,8.56563,passed
smack_hash_table_init_bounded_test,200.006,failed
smack_string_eq_byte_cursor_test,7.4618,passed
smack_hash_table_init_unbounded_test,200.004,failed
smack_string_eq_c_str_test,3.18416,passed
smack_string_eq_c_str_ignore_case_test,3.13754,passed
smack_string_eq_ignore_case_test,8.47744,passed
smack_string_new_from_array_test,5.76952,passed
smack_linked_list_back_test,171.293,passed
smack_string_new_from_c_str_test,3.05784,passed
smack_string_new_from_string_test,2.85774,passed
smack_string_destroy_test,2.46094,passed
smack_string_destroy_secure_test,4.42566,passed
smack_priority_queue_size_test,6.96165,passed
smack_linked_list_push_front_test,123.107,passed
smack_priority_queue_capacity_test,6.67965,passed
