Name,Timing,Result
symbiotic_is_power_of_two_test,1.903338,passed
symbiotic_round_up_to_power_of_two_test,4.506345,passed
symbiotic_ptr_eq_test,5.033169,passed
symbiotic_array_list_capacity_test,5.28712,passed
symbiotic_array_list_back_test,7.427538,passed
symbiotic_array_eq_ignore_case_test,7.748776,passed
symbiotic_add_size_saturating_test,8.749454,passed
symbiotic_array_list_clean_up_test,4.270603,passed
symbiotic_array_eq_test,9.085437,passed
symbiotic_array_list_clear_test,4.151751,passed
symbiotic_array_list_comparator_string_test,3.799387,passed
symbiotic_array_eq_c_str_test,12.466968,passed
symbiotic_add_size_checked_test,13.441143,passed
symbiotic_array_list_front_test,5.776601,passed
symbiotic_array_eq_c_str_ignore_case_test,15.738758,passed
symbiotic_array_list_get_at_ptr_test,8.020602,passed
symbiotic_array_list_get_at_test,8.366601,passed
symbiotic_array_list_length_test,4.832867,passed
symbiotic_array_list_pop_back_test,10.965804,passed
symbiotic_array_list_pop_front_test,15.969472,passed
symbiotic_array_list_sort_test,6.743545,passed
symbiotic_array_list_pop_front_n_test,22.131585,passed
symbiotic_array_list_erase_test,35.473459,passed
symbiotic_array_list_init_static_test,39.417834,passed
symbiotic_array_list_swap_contents_test,14.271891,passed
symbiotic_byte_buf_advance_test,9.535602,passed
symbiotic_array_list_swap_test,15.820312,passed
symbiotic_array_list_push_back_test,41.104798,passed
symbiotic_byte_buf_clean_up_test,1.897633,passed
symbiotic_byte_buf_clean_up_secure_test,1.776931,passed
symbiotic_byte_buf_append_test,10.692285,passed
symbiotic_array_list_shrink_to_fit_test,37.316739,passed
symbiotic_byte_buf_append_with_lookup_test,9.210728,passed
symbiotic_byte_buf_eq_c_str_test,14.290689,passed
symbiotic_byte_buf_eq_test,14.913724,passed
symbiotic_byte_buf_from_array_test,3.373782,passed
symbiotic_byte_buf_eq_c_str_ignore_case_test,17.373367,passed
symbiotic_byte_buf_eq_ignore_case_test,18.17003,passed
symbiotic_array_list_copy_test,74.180493,passed
symbiotic_mul_size_saturating_test,83.11353,passed
symbiotic_byte_buf_from_empty_array_test,3.401967,passed
symbiotic_byte_buf_init_test,4.270078,passed
symbiotic_byte_buf_from_c_str_test,7.526926,passed
symbiotic_byte_buf_init_copy_from_cursor_test,4.614553,passed
symbiotic_byte_buf_reset_test,2.545944,passed
symbiotic_byte_buf_secure_zero_test,2.519499,passed
symbiotic_byte_buf_init_copy_test,6.726251,passed
symbiotic_byte_buf_reserve_test,4.910111,passed
symbiotic_byte_buf_write_be16_test,4.699298,passed
symbiotic_byte_buf_reserve_relative_test,8.408467,passed
symbiotic_byte_buf_write_be32_test,5.431923,passed
symbiotic_byte_buf_write_be64_test,6.557642,passed
symbiotic_byte_buf_write_test,8.74468,passed
symbiotic_byte_buf_write_u8_test,4.627331,passed
symbiotic_byte_buf_write_from_whole_string_test,5.481323,passed
symbiotic_byte_buf_write_from_whole_buffer_test,12.801746,passed
symbiotic_array_list_init_dynamic_test,91.361635,passed
symbiotic_byte_buf_write_from_whole_cursor_test,10.636431,passed
symbiotic_byte_cursor_advance_test,8.512348,passed
symbiotic_byte_cursor_compare_lexical_test,10.287424,passed
symbiotic_byte_cursor_eq_test,8.252065,passed
symbiotic_byte_cursor_compare_lookup_test,10.475883,passed
symbiotic_byte_cursor_from_array_test,2.104472,passed
symbiotic_byte_cursor_eq_byte_buf_test,9.946851,passed
symbiotic_byte_cursor_eq_byte_buf_ignore_case_test,8.496661,passed
symbiotic_byte_cursor_eq_ignore_case_test,7.163126,passed
symbiotic_byte_cursor_from_string_test,2.44352,passed
symbiotic_byte_cursor_from_c_str_test,5.842731,passed
symbiotic_byte_cursor_from_buf_test,6.033456,passed
symbiotic_hash_ptr_test,0.79221,passed
symbiotic_byte_cursor_left_trim_pred_test,4.09327,passed
symbiotic_byte_cursor_eq_c_str_test,12.386365,passed
symbiotic_hash_string_test,0.716813,passed
symbiotic_hash_array_ignore_case_test,1.960084,passed
symbiotic_byte_cursor_satisfies_pred_test,4.05036,passed
symbiotic_byte_cursor_right_trim_pred_test,4.85738,passed
symbiotic_hash_byte_cursor_ptr_ignore_case_test,1.876519,passed
symbiotic_hash_c_string_test,0.676978,passed
symbiotic_hash_byte_cursor_ptr_test,3.075544,passed
symbiotic_byte_cursor_eq_c_str_ignore_case_test,15.266372,passed
symbiotic_hash_callback_string_destroy_test,1.069902,passed
symbiotic_byte_cursor_trim_pred_test,4.986405,passed
symbiotic_hash_iter_begin_test,6.61891,passed
symbiotic_hash_callback_string_eq_test,7.73852,passed
symbiotic_hash_iter_begin_done_test,7.059476,passed
symbiotic_hash_iter_done_test,17.769681,passed
symbiotic_byte_buf_append_dynamic_test,97.171313,passed
symbiotic_hash_table_clean_up_test,3.188384,failed
symbiotic_hash_table_clear_test,2.796258,failed
symbiotic_array_list_set_at_test,186.756195,passed
symbiotic_hash_iter_next_test,90.453568,passed
symbiotic_hash_callback_c_str_eq_test,113.585496,passed
symbiotic_hash_table_init_bounded_test,2.776984,unknown
symbiotic_hash_table_init_unbounded_test,3.774672,unknown
symbiotic_array_list_ensure_capacity_test,274.679227,passed
symbiotic_hash_table_put_test,135.927462,failed
symbiotic_hash_table_find_test,167.612653,passed
symbiotic_linked_list_begin_test,10.708086,passed
symbiotic_linked_list_back_test,17.767802,passed
symbiotic_linked_list_end_test,10.592905,passed
symbiotic_linked_list_init_test,0.644806,passed
symbiotic_linked_list_remove_test,4.056196,passed
symbiotic_hash_table_remove_test,125.118659,failed
symbiotic_linked_list_front_test,16.771274,passed
symbiotic_linked_list_prev_test,1.145669,passed
symbiotic_linked_list_next_test,1.01851,passed
symbiotic_linked_list_node_reset_test,0.748657,passed
symbiotic_linked_list_pop_back_test,9.451477,passed
symbiotic_linked_list_pop_front_test,9.569324,passed
symbiotic_linked_list_push_back_test,9.258335,passed
symbiotic_linked_list_push_front_test,9.129053,passed
symbiotic_linked_list_insert_after_test,4.175728,passed
symbiotic_linked_list_insert_before_test,4.35813,passed
symbiotic_linked_list_swap_contents_test,17.587131,passed
symbiotic_linked_list_rbegin_test,10.580494,passed
symbiotic_linked_list_rend_test,10.068224,passed
symbiotic_string_bytes_test,1.334054,passed
symbiotic_string_compare_test,4.396578,passed
symbiotic_string_eq_byte_buf_test,4.78142,passed
symbiotic_string_eq_test,6.408673,passed
symbiotic_string_eq_byte_cursor_test,4.016275,passed
symbiotic_string_eq_byte_buf_ignore_case_test,6.684972,passed
symbiotic_string_eq_byte_cursor_ignore_case_test,6.897389,passed
symbiotic_string_eq_ignore_case_test,10.236831,passed
symbiotic_string_new_from_array_test,3.385845,failed
symbiotic_string_eq_c_str_test,27.033314,passed
symbiotic_string_new_from_c_str_test,11.568544,passed
symbiotic_string_new_from_string_test,2.727151,passed
symbiotic_string_destroy_test,1.009467,passed
symbiotic_priority_queue_size_test,3.96504,passed
